type,question,A,B,C,D,answer,label_A,label_B,label_C,label_D
"Written Expression,The “Black Swan Theory” refers only to unexpected events of large magnitude and consequential and their dominant role in history.,refers,unexpected,consequential,history,C,Kata 'refers' tidak salah; merupakan predikat utama.,Kata 'unexpected' tidak salah; merupakan sifat dari 'events'.,Jawaban benar. 'consequential' harus berbentuk kata benda: 'consequence'.,Kata 'history' tidak salah; merupakan objek akhir."
"Written Expression,A stress person may experience fleeting moments of concern while a person with anxiety usually experiences symptoms for longer periods of time.,stress,experience,anxiety,time,A,Jawaban benar. 'stress' harus berbentuk adjective: 'stressed'.,Kata 'experience' tidak salah; merupakan predikat utama.,Kata 'anxiety' tidak salah; merupakan kondisi psikologis.,Kata 'time' tidak salah; merupakan objek akhir."
"Written Expression,In the United States England and another major nations patents were awarded at the rate of about 5;000 per year per nation.,another,nations,were awarded,rate,B,Jawaban salah. 'another' tidak cocok untuk plural; seharusnya 'other'.,Jawaban benar. 'nations' adalah subjek jamak; 'another' tidak boleh digunakan.,Kata 'were awarded' tidak salah; sesuai dengan konteks masa lalu.,Kata 'rate' tidak salah; merupakan bagian dari frasa 'rate of about…'."
"Written Expression,While the astronomical polar night stars of the sixth magnitude which are the dimmest stars visible to the naked eye will be visible throughout the entire day.,While,polar night,dimmed,visible,A,Jawaban benar. 'While' tidak tepat; seharusnya 'During'.,Kata 'polar night' tidak salah; merupakan istilah astronomi.,Kata 'dimmed' tidak muncul dalam kalimat asli.,Kata 'visible' tidak salah; sesuai dengan konteks cahaya."
"Written Expression,Experiments using gene therapy represent a giant step into the future of medicine.,Experiments,gene therapy,represent,future,D,Kata 'Experiments' tidak salah; merupakan subjek utama.,Kata 'gene therapy' tidak salah; merupakan topik penelitian.,Kata 'represent' tidak salah; merupakan predikat utama.,Jawaban salah. Tidak ada kesalahan pada kalimat; kemungkinan hanya uji coba."
"Written Expression,After visited army camps near Washington D.C in 1861 Julia Ward Howe wrote “The Battle Hymn of the Republic.”,visited,army camps,Washington D.C,Howe,A,Jawaban benar. 'visited' harus berbentuk V-ing karena setelah preposisi 'after'.,Kata 'army camps' tidak salah; merupakan lokasi kunjungan.,Kata 'Washington D.C' tidak salah; merupakan tempat.,Kata 'Howe' tidak salah; merupakan penulis lagu."
"Written Expression,Certain authorities claim that the costumes that people wear to parties given subtle insights into their personalities.,costumes,wear,parties,given,D,Kata 'costumes' tidak salah; merupakan subjek utama.,Kata 'wear' tidak salah; merupakan predikat utama.,Kata 'parties' tidak salah; merupakan objek dari 'to wear'.,Jawaban benar. 'given' harus berbentuk kata kerja: 'give' atau 'giving'."
"Written Expression,The number of students who failed the test are higher than expected.,number,students,failed,are,D,Kata 'number' tidak salah; merupakan subjek tunggal.,Kata 'students' tidak salah; merupakan objek.,Kata 'failed' tidak salah; merupakan kata kerja.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Neither the teacher nor the students has done their homework yet.,teacher,nor,students,has,D,Jawaban salah. 'Teacher' tidak salah; subjek tunggal.,Frasa 'nor' tidak salah; penghubung logis.,Kata 'students' tidak salah; subjek jamak.,Jawaban benar. 'Has' harus berbentuk jamak: 'have'."
"Written Expression,The information provided by the staff are not accurate enough.,information,provided,staff,are,D,Kata 'information' tidak salah; subjek tunggal.,Kata 'provided' tidak salah; merupakan partisip lampau.,Kata 'staff' tidak salah; merupakan pelaku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,Everyone who have seen the movie agrees it’s a masterpiece.,who,have,agrees,movie,B,Kata 'who' tidak salah; sebagai klausa relatif.,Jawaban benar. 'Have' harus berbentuk tunggal: 'has'.,Kata 'agrees' tidak salah; predikat tunggal.,Kata 'movie' tidak salah; merupakan objek."
"Written Expression,Each of the participants were given a certificate at the end of the seminar.,each,were,given,certificate,B,Kata 'each' tidak salah; subjek tunggal.,Jawaban benar. 'Were' harus berbentuk tunggal: 'was'.,Kata 'given' tidak salah; merupakan lampau pasif.,Kata 'certificate' tidak salah; merupakan objek."
"Written Expression,The book including its cover and pages are in good condition.,book,includding,cover,are,D,Kata 'book' tidak salah; subjek tunggal.,Kata 'including' tidak salah; menjelaskan bagian tambahan.,Kata 'cover' tidak salah; bagian dari buku.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'."
"Written Expression,One of the best players on the team are injured.,players,team,are,injured,C,Kata 'players' tidak salah; bagian dari frasa.,Kata 'team' tidak salah; lokasi pemain.,Jawaban benar. 'Are' harus berbentuk tunggal: 'is'.,Kata 'injured' tidak salah; kondisi pemain."
"Written Expression,The committee was unable to agree on a decision due to disagreement among its members.,committee,agree,disagreement,members,C,Kata 'committee' bisa jamak atau tunggal tergantung konteks.,Kata 'agree' tidak salah; merupakan kata kerja.,Jawaban benar. Frasa 'due to disagreement' salah; seharusnya 'because of'.,Kata 'members' tidak salah; bagian dari komite."
"Written Expression,The data shows that there is a correlation between sleep and productivity.,data,shows,correlation,productivity,C,Kata 'data' bisa jamak/tunggal tergantung konteks.,Kata 'shows' tidak salah jika data dianggap tunggal.,Jawaban benar. 'Correlation' harus berbentuk klausa lengkap.,Kata 'productivity' tidak salah; hasil."
"Written Expression,All of the information in this report is confidential and must not be disclosed.,of,information,report,is,A,Jawaban benar. 'All of the information' tidak gramatikal; seharusnya 'all the information'.,Kata 'information' tidak salah; subjek tunggal.,Kata 'report' tidak salah; sumber informasi.,Kata 'is' tidak salah; cocok dengan subjek tunggal."
